"x","y"
-173.317622722049,62.237104230266
-176.265414546052,62.1994243349324
-179.151147594812,60.7487483645879
-178.344383516664,58.8082337549062
-176.917031686094,58.2241953772351
-174.682915777376,57.734356737898
-173.689975373502,56.4532402965547
-171.207624363815,55.8315220235499
-168.849390904613,55.5112429132141
-167.173803973075,54.5504055822067
-164.970717451978,54.2489664195377
-161.929837465112,55.1532839075447
-157.896017074372,56.8488791975578
-157.864987686751,58.2807152202355
-159.8508684945,58.7705538595726
-165.529246429158,60.0139904055822
-167.080715810212,60.6733885739206
-170.46291906091,60.8994679459224
-171.735123953374,61.540026166594
-172.728064357248,61.7472655909289
