YEAR,STATIONID,LON,LAT,NUMBER_FISH
1994,5330,-169.1,58.6,62
1994,5362,-165.9,58.6,45
1994,5441,-176.9,58.7,55
1994,5448,-176.2,58.7,45
1994,5454,-175.6,58.7,21
1994,5461,-174.9,58.7,23
1994,5467,-174.3,58.7,71
1994,5473,-173.7,58.7,20
1994,5480,-173,58.7,93
1994,5486,-172.4,58.7,69
1994,5493,-171.7,58.7,20
1994,5506,-170.4,58.7,46
1994,5512,-169.8,58.7,58
1994,5525,-168.5,58.7,62
1994,5531,-167.9,58.7,93
1994,5538,-167.2,58.7,64
1994,5544,-166.6,58.7,65
1994,5557,-165.3,58.7,29
1994,5564,-164.6,58.7,87
1994,5570,-164,58.7,41
1994,5577,-163.3,58.7,77
1994,5583,-162.7,58.7,70
1994,5987,-177.5,59,28
1994,5993,-176.9,59,50
1994,5999,-176.3,59,23
1994,6005,-175.7,59,50
1994,6012,-175,59,53
1994,6018,-174.4,59,53
1994,6025,-173.7,59,30
1994,6031,-173.1,59,92
1994,6037,-172.5,59,42
1994,6044,-171.8,59,20
1994,6051,-171.1,59,60
1994,6057,-170.5,59,25
1994,6064,-169.8,59,52
1994,6070,-169.2,59,36
1994,6077,-168.5,59,9
1994,6083,-167.9,59,90
1994,6090,-167.2,59,27
1994,6096,-166.6,59,62
1994,6103,-165.9,59,14
1994,6109,-165.3,59,26
1994,6116,-164.6,59,63
1994,6122,-164,59,76
1994,6128,-163.4,59,71
1994,6506,-177.1,59.3,80
1994,6513,-176.4,59.3,64
1994,6519,-175.8,59.3,25
1994,6526,-175.1,59.3,62
1994,6532,-174.5,59.3,58
1994,6539,-173.8,59.3,28
1994,6545,-173.2,59.3,49
1994,6552,-172.5,59.3,16
1994,6559,-171.8,59.3,36
1994,6565,-171.2,59.3,16
1994,6572,-170.5,59.3,45
1994,6578,-169.9,59.3,54
1994,6585,-169.2,59.3,38
1994,6591,-168.6,59.3,35
1994,6605,-167.2,59.3,60
1994,6611,-166.6,59.3,24
1994,6617,-166,59.3,22
1994,6624,-165.3,59.3,48
1994,6631,-164.6,59.3,17
1994,6761,-167.9,59.4,34
1994,6800,-164,59.4,28
