YEAR,STATIONID,LON,LAT,LENGTH,AGE
1994,1506,-162.2,56.3,16,1
1994,1506,-162.2,56.3,24,1
1994,1506,-162.2,56.3,31,2
1994,1506,-162.2,56.3,68,6
1994,1512,-161.6,56.3,9,1
1994,1512,-161.6,56.3,27,2
1994,1512,-161.6,56.3,33,4
1994,1512,-161.6,56.3,49,4
1994,1518,-161,56.3,19,1
1994,1518,-161,56.3,28,2
1994,1518,-161,56.3,48,4
1994,1518,-161,56.3,58,6
1994,1593,-167.7,56.4,17,1
1994,1593,-167.7,56.4,24,1
1994,1593,-167.7,56.4,33,2
1994,1593,-167.7,56.4,62,5
1994,1642,-162.8,56.4,19,1
1994,1642,-162.8,56.4,50,4
1994,1642,-162.8,56.4,50,4
1994,1642,-162.8,56.4,50,4
1994,1898,-167.1,56.6,25,1
1994,1898,-167.1,56.6,47,3
1994,1898,-167.1,56.6,47,3
1994,1898,-167.1,56.6,57,5
1994,1959,-161,56.6,15,1
1994,1959,-161,56.6,17,1
1994,1959,-161,56.6,17,1
1994,1959,-161,56.6,20,1
1994,1997,-172.6,56.7,17,1
1994,1997,-172.6,56.7,18,1
1994,1997,-172.6,56.7,43,3
1994,1997,-172.6,56.7,89,8
1994,2004,-171.9,56.7,19,1
1994,2004,-171.9,56.7,33,2
1994,2004,-171.9,56.7,43,3
1994,2004,-171.9,56.7,80,6
1994,2009,-171.4,56.7,18,1
1994,2009,-171.4,56.7,21,1
1994,2009,-171.4,56.7,25,1
1994,2009,-171.4,56.7,28,1
1994,2016,-170.7,56.7,16,1
1994,2016,-170.7,56.7,22,1
1994,2016,-170.7,56.7,37,2
1994,2016,-170.7,56.7,53,3
1994,2022,-170.1,56.7,17,1
1994,2022,-170.1,56.7,20,1
1994,2022,-170.1,56.7,27,1
1994,2022,-170.1,56.7,28,1
1994,2028,-169.5,56.7,23,1
1994,2028,-169.5,56.7,40,3
1994,2028,-169.5,56.7,45,3
1994,2028,-169.5,56.7,72,6
1994,2034,-168.9,56.7,18,1
1994,2034,-168.9,56.7,41,2
1994,2034,-168.9,56.7,46,2
1994,2034,-168.9,56.7,53,3
1994,2040,-168.3,56.7,22,1
1994,2040,-168.3,56.7,40,3
1994,2040,-168.3,56.7,52,4
1994,2040,-168.3,56.7,56,5
1994,2046,-167.7,56.7,20,1
1994,2046,-167.7,56.7,28,1
1994,2046,-167.7,56.7,29,2
1994,2046,-167.7,56.7,58,5
1994,2059,-166.4,56.7,24,1
1994,2059,-166.4,56.7,42,3
1994,2059,-166.4,56.7,73,9
1994,2059,-166.4,56.7,73,9
1994,2065,-165.8,56.7,9,1
1994,2065,-165.8,56.7,25,1
1994,2065,-165.8,56.7,39,2
1994,2065,-165.8,56.7,43,3
1994,2071,-165.2,56.7,20,1
1994,2071,-165.2,56.7,32,2
1994,2071,-165.2,56.7,33,2
1994,2071,-165.2,56.7,69,6
1994,2077,-164.6,56.7,10,1
1994,2077,-164.6,56.7,10,1
1994,2077,-164.6,56.7,43,3
1994,2077,-164.6,56.7,68,6
1994,2083,-164,56.7,17,1
1994,2083,-164,56.7,31,2
1994,2083,-164,56.7,47,3
1994,2083,-164,56.7,62,5
1994,2089,-163.4,56.7,15,1
1994,2089,-163.4,56.7,17,1
